,Genome Name,species,antibiotic,resistance
809,Klebsiella pneumoniae strain MRSN430405,Klebsiella pneumoniae,ceftazidime,Resistant
811,Shigella sonnei strain 159717,Shigella sonnei,cefotaxime,Resistant
812,Klebsiella pneumoniae strain Q1444,Klebsiella pneumoniae,cefepime,Resistant
813,Klebsiella pneumoniae strain BA31716,Klebsiella pneumoniae,meropenem,Susceptible
814,Shigella sonnei strain 173529,Shigella sonnei,nalidixic acid,Susceptible
815,Shigella sonnei strain 164656,Shigella sonnei,tobramycin,Resistant
816,Klebsiella pneumoniae strain KZN_INI_KINF_90,Klebsiella pneumoniae,ceftriaxone,Susceptible
817,Klebsiella pneumoniae strain MRSN13748,Klebsiella pneumoniae,ceftriaxone,Resistant
818,Shigella sonnei strain 181981,Shigella sonnei,cefotaxime,Resistant
819,Klebsiella pneumoniae strain MRSN511348,Klebsiella pneumoniae,ceftriaxone,Resistant
820,Shigella sonnei strain 186593,Shigella sonnei,tetracycline,Resistant
821,Klebsiella pneumoniae strain Q1449,Klebsiella pneumoniae,gentamicin,Susceptible
822,Escherichia coli strain SCAID URN1-2021 (19/278) strain SCAID URN1-2021 (19/278) strain SCAID URN1-2021 (19/278),Escherichia coli,ampicillin,Resistant
823,Shigella sonnei strain 190571,Shigella sonnei,sulfonamides,Resistant
824,Klebsiella pneumoniae subsp. pneumoniae strain KC-Pl-HB1,Klebsiella pneumoniae,aztreonam,Susceptible
825,Streptococcus pneumoniae strain PP2,Streptococcus pneumoniae,chloramphenicol,Susceptible
827,Klebsiella pneumoniae strain OD29B,Klebsiella pneumoniae,cefepime,Resistant
828,Klebsiella pneumoniae strain MRSN517281,Klebsiella pneumoniae,gentamicin,Susceptible
829,Staphylococcus aureus strain UMCG578,Staphylococcus aureus,clindamycin,Susceptible
830,Klebsiella pneumoniae strain MRSN560539,Klebsiella pneumoniae,cefotaxime,Resistant
831,Shigella sonnei strain 178860,Shigella sonnei,streptomycin,Resistant
832,Klebsiella pneumoniae strain MRSN583114,Klebsiella pneumoniae,gentamicin,Susceptible
833,Shigella sonnei strain 155596,Shigella sonnei,amikacin,Susceptible
834,Shigella sonnei strain 206674,Shigella sonnei,sulfonamides,Resistant
835,Klebsiella pneumoniae subsp. pneumoniae strain KC-Pl-HB1,Klebsiella pneumoniae,piperacillin/tazobactam,Susceptible
836,Shigella sonnei strain 205582,Shigella sonnei,ceftazidime,Susceptible
837,Shigella sonnei strain 166177,Shigella sonnei,cefoxitin,Susceptible
838,Klebsiella pneumoniae strain KP_NORM_BLD_2012_85054,Klebsiella pneumoniae,meropenem,Susceptible
839,Staphylococcus aureus strain 27199_155F114,Staphylococcus aureus,ciprofloxacin,Susceptible
840,Klebsiella pneumoniae strain MRSN591344,Klebsiella pneumoniae,meropenem,Susceptible
841,Shigella sonnei strain 163136,Shigella sonnei,tobramycin,Resistant
842,Klebsiella pneumoniae strain KP-14-2-131,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
843,Mycobacterium tuberculosis strain OMICS/BPL/0056/19/SP,Mycobacterium tuberculosis,isoniazid,Resistant
844,Shigella sonnei strain 161915,Shigella sonnei,streptomycin,Resistant
845,Shigella sonnei strain 149199,Shigella sonnei,tetracycline,Susceptible
846,Shigella sonnei strain 19910761_1361368,Shigella sonnei,streptomycin,Resistant
847,Klebsiella pneumoniae strain SAKP02,Klebsiella pneumoniae,ertapenem,Susceptible
848,Shigella sonnei strain 153154,Shigella sonnei,cefotaxime,Susceptible
849,Klebsiella pneumoniae strain MRSN28866,Klebsiella pneumoniae,meropenem,Susceptible
850,Klebsiella pneumoniae strain MRSN27989,Klebsiella pneumoniae,cefepime,Resistant
851,Streptococcus pneumoniae strain S356,Streptococcus pneumoniae,erythromycin,Resistant
852,Staphylococcus aureus strain 71532_cf1,Staphylococcus aureus,trimethoprim_sulfamethoxazole,Susceptible
853,Klebsiella pneumoniae strain MRSN28887,Klebsiella pneumoniae,meropenem,Susceptible
854,Klebsiella pneumoniae strain MRSN19073,Klebsiella pneumoniae,gentamicin,Susceptible
855,Shigella sonnei strain 149191,Shigella sonnei,tetracycline,Resistant
856,Shigella sonnei strain 159717,Shigella sonnei,tetracycline,Resistant
857,Mycobacterium tuberculosis strain OMICS/BPL/0018/19/SP,Mycobacterium tuberculosis,amikacin,Susceptible
858,Klebsiella pneumoniae strain CVUAS 5695.2,Klebsiella pneumoniae,tobramycin,Susceptible
859,Shigella sonnei strain 168321,Shigella sonnei,sulfonamides,Susceptible
860,Staphylococcus aureus strain NW LYH,Staphylococcus aureus,gentamicin,Susceptible
861,Shigella sonnei strain 189229,Shigella sonnei,sulfonamides,Resistant
863,Shigella sonnei strain 163128,Shigella sonnei,tetracycline,Susceptible
864,Staphylococcus aureus strain SCAID OTT1-2021 (597/2) strain SCAID OTT1-2021 (597/2) strain SCAID OTT1-2021 (597/2),Staphylococcus aureus,oxacillin,Resistant
865,Klebsiella pneumoniae strain CVUAS 11733,Klebsiella pneumoniae,cefoxitin,Susceptible
866,Klebsiella pneumoniae strain MRSN4815,Klebsiella pneumoniae,amikacin,Susceptible
867,Shigella sonnei strain 164673,Shigella sonnei,azithromycin,Susceptible
868,Staphylococcus aureus strain 62100_37_1,Staphylococcus aureus,penicillin,Susceptible
869,Streptococcus pneumoniae strain pnumococcus6E,Streptococcus pneumoniae,erythromycin,Susceptible
870,Klebsiella pneumoniae strain BJKP01,Klebsiella pneumoniae,ciprofloxacin,Susceptible
871,Shigella sonnei strain 181108,Shigella sonnei,temocillin,Susceptible
872,Klebsiella pneumoniae strain Q0893,Klebsiella pneumoniae,ertapenem,Resistant
874,Shigella sonnei strain 175550,Shigella sonnei,gentamicin,Resistant
875,Staphylococcus aureus strain 71532_cf5,Staphylococcus aureus,trimethoprim_sulfamethoxazole,Susceptible
876,Klebsiella pneumoniae strain MRSN365679,Klebsiella pneumoniae,gentamicin,Susceptible
877,Klebsiella pneumoniae strain MRSN380979,Klebsiella pneumoniae,cefoxitin,Susceptible
878,Shigella sonnei strain 166345,Shigella sonnei,trimethoprim,Resistant
879,Streptococcus pneumoniae strain S856,Streptococcus pneumoniae,erythromycin,Resistant
880,Staphylococcus aureus strain 27201_175F382,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
881,Shigella sonnei strain 175605,Shigella sonnei,ertapenem,Susceptible
882,Shigella sonnei strain 163127,Shigella sonnei,cefotaxime,Resistant
883,Staphylococcus aureus strain 99634_21,Staphylococcus aureus,clindamycin,Resistant
884,Klebsiella pneumoniae strain M297-1,Klebsiella pneumoniae,imipenem,Susceptible
885,Klebsiella pneumoniae strain PN105,Klebsiella pneumoniae,cefepime,Resistant
886,Klebsiella pneumoniae strain MRSN4759,Klebsiella pneumoniae,ertapenem,Susceptible
887,Shigella sonnei strain 170367,Shigella sonnei,nalidixic acid,Susceptible
888,Klebsiella pneumoniae strain 258,Klebsiella pneumoniae,tobramycin,Susceptible
889,Shigella sonnei strain 20040880_1361372,Shigella sonnei,sulfonamides,Susceptible
890,Shigella sonnei strain 152343,Shigella sonnei,ceftazidime,Susceptible
891,Staphylococcus aureus strain NCTC9613,Staphylococcus aureus,clindamycin,Susceptible
892,Shigella sonnei strain 161914,Shigella sonnei,trimethoprim,Resistant
893,Klebsiella pneumoniae strain KZN_INI_KINF_60,Klebsiella pneumoniae,sulfamethoxazole,Resistant
894,Klebsiella pneumoniae strain MRSN28866,Klebsiella pneumoniae,ceftolozane-tazobactam,Susceptible
895,Shigella sonnei strain 168320,Shigella sonnei,streptomycin,Susceptible
896,Staphylococcus aureus strain 30408_155F165,Staphylococcus aureus,erythromycin,Susceptible
897,Shigella sonnei strain 187553,Shigella sonnei,ertapenem,Susceptible
899,Shigella sonnei strain 180537,Shigella sonnei,tobramycin,Resistant
900,Shigella sonnei strain 163131,Shigella sonnei,cefpirome,Susceptible
901,Shigella sonnei strain 177418,Shigella sonnei,sulfonamides,Resistant
902,Shigella sonnei strain 175548,Shigella sonnei,amikacin,Susceptible
903,Klebsiella pneumoniae strain MRSN676980,Klebsiella pneumoniae,tetracycline,Susceptible
904,Klebsiella pneumoniae strain KZN_INI_KINF_27,Klebsiella pneumoniae,tobramycin,Susceptible
905,Shigella sonnei strain 154830,Shigella sonnei,cefoxitin,Susceptible
906,Klebsiella pneumoniae strain MRSN21352,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
908,Klebsiella pneumoniae strain MRSN562722,Klebsiella pneumoniae,gentamicin,Susceptible
909,Klebsiella pneumoniae strain MRSN669510,Klebsiella pneumoniae,tetracycline,Susceptible
910,Klebsiella pneumoniae strain PN95,Klebsiella pneumoniae,meropenem,Susceptible
911,Klebsiella pneumoniae strain MRSN761403,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,Resistant
912,Staphylococcus aureus strain 11105244,Staphylococcus aureus,ciprofloxacin,Susceptible
913,Klebsiella pneumoniae strain MRSN13726,Klebsiella pneumoniae,ampicillin-sulbactam,Susceptible
914,Streptococcus pneumoniae strain PP2,Streptococcus pneumoniae,erythromycin,Resistant
915,Klebsiella pneumoniae strain I73,Klebsiella pneumoniae,levofloxacin,Resistant
916,Klebsiella pneumoniae strain KZN_INI_KINF_29,Klebsiella pneumoniae,imipenem,Susceptible
917,Escherichia coli strain SCAID URN1-2021 (19/278) strain SCAID URN1-2021 (19/278) strain SCAID URN1-2021 (19/278),Escherichia coli,gentamicin,Susceptible
918,Klebsiella pneumoniae strain MRSN15937,Klebsiella pneumoniae,ampicillin,Resistant
919,Klebsiella pneumoniae strain KZN_INI_KINF_102,Klebsiella pneumoniae,meropenem,Resistant
920,Shigella sonnei strain 202268,Shigella sonnei,sulfonamides,Resistant
921,Klebsiella pneumoniae strain MRSN14444,Klebsiella pneumoniae,cefoxitin,Susceptible
922,Shigella sonnei strain 20031275_1361395,Shigella sonnei,nalidixic acid,Susceptible
923,Klebsiella pneumoniae strain MRSN614201,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
924,Shigella sonnei strain 179822,Shigella sonnei,temocillin,Susceptible
925,Shigella sonnei strain 196416,Shigella sonnei,chloramphenicol,Susceptible
926,Klebsiella pneumoniae strain MRSN25947,Klebsiella pneumoniae,cefepime,Susceptible
927,Shigella sonnei strain 190644,Shigella sonnei,gentamicin,Resistant
928,Staphylococcus aureus strain GHA/LAMRSA/2016/1,Staphylococcus aureus,erythromycin,Susceptible
929,Shigella sonnei strain 150955,Shigella sonnei,sulfonamides,Resistant
930,Staphylococcus aureus strain 60563-11-4,Staphylococcus aureus,ciprofloxacin,Susceptible
932,Shigella sonnei strain 170443,Shigella sonnei,temocillin,Susceptible
933,Klebsiella pneumoniae strain Kp5168,Klebsiella pneumoniae,cefoxitin,Resistant
934,Mycobacterium tuberculosis variant bovis strain CSURQ1141,Mycobacterium tuberculosis,kanamycin,Susceptible
935,Shigella sonnei strain 187478,Shigella sonnei,amikacin,Resistant
936,Klebsiella pneumoniae strain S90-2,Klebsiella pneumoniae,tetracycline,Resistant
937,Shigella sonnei strain 163134,Shigella sonnei,tetracycline,Resistant
938,Shigella sonnei strain 158946,Shigella sonnei,streptomycin,Resistant
939,Klebsiella pneumoniae subsp. pneumoniae strain Kp6,Klebsiella pneumoniae,levofloxacin,Susceptible
940,Klebsiella pneumoniae strain MRSN430414,Klebsiella pneumoniae,cefepime,Susceptible
941,Shigella sonnei strain 178863,Shigella sonnei,trimethoprim,Resistant
942,Klebsiella pneumoniae strain MRSN468268,Klebsiella pneumoniae,tigecycline,Susceptible
943,Staphylococcus aureus strain 27206_175TM551,Staphylococcus aureus,ciprofloxacin,Susceptible
944,Klebsiella pneumoniae strain MRSN728987,Klebsiella pneumoniae,tobramycin,Resistant
945,Shigella sonnei strain 181108,Shigella sonnei,cefotaxime,Susceptible
947,Shigella sonnei strain 158948,Shigella sonnei,ampicillin,Susceptible
948,Klebsiella pneumoniae strain MRSN5613,Klebsiella pneumoniae,cefepime,Resistant
949,Klebsiella pneumoniae strain MRSN371351,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
950,Klebsiella pneumoniae strain MRSN669448,Klebsiella pneumoniae,gentamicin,Resistant
951,Klebsiella pneumoniae strain KZN_INI_KINF_91,Klebsiella pneumoniae,ampicillin,Resistant
952,Shigella sonnei strain 164888,Shigella sonnei,ampicillin,Susceptible
953,Staphylococcus aureus strain 71532_cf3,Staphylococcus aureus,methicillin,Susceptible
954,Escherichia coli strain SCAID WND1-2021 (1/128) strain SCAID WND1-2021 (1/128) strain SCAID WND1-2021 (1/128),Escherichia coli,erythromycin,Resistant
955,Staphylococcus aureus strain 11700739,Staphylococcus aureus,penicillin,Susceptible
956,Shigella sonnei strain 203669,Shigella sonnei,temocillin,Resistant
957,Klebsiella pneumoniae strain Q1445,Klebsiella pneumoniae,tobramycin,Resistant
958,Shigella sonnei strain 189229,Shigella sonnei,temocillin,Susceptible
960,Staphylococcus aureus strain 41302682,Staphylococcus aureus,penicillin,Susceptible
961,Shigella sonnei strain 195810,Shigella sonnei,sulfonamides,Resistant
962,Klebsiella pneumoniae strain MRSN518712,Klebsiella pneumoniae,ceftazidime,Resistant
963,Shigella sonnei strain 175605,Shigella sonnei,cefoxitin,Susceptible
964,Klebsiella pneumoniae strain MRSN6031,Klebsiella pneumoniae,cefotetan,Susceptible
965,Klebsiella pneumoniae strain MRSN28893,Klebsiella pneumoniae,ertapenem,Susceptible
967,Staphylococcus aureus strain 27203_175F433,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
968,Klebsiella pneumoniae strain MRSN410359,Klebsiella pneumoniae,imipenem,Susceptible
969,Klebsiella pneumoniae strain P30-72,Klebsiella pneumoniae,gentamicin,Resistant
970,Shigella sonnei strain 203686,Shigella sonnei,ertapenem,Resistant
971,Shigella sonnei strain 161046,Shigella sonnei,temocillin,Susceptible
972,Klebsiella pneumoniae strain MRSN25616,Klebsiella pneumoniae,cefuroxime,Susceptible
973,Staphylococcus aureus strain 60563-11-4,Staphylococcus aureus,gentamicin,Susceptible
974,Klebsiella pneumoniae strain MRSN4759,Klebsiella pneumoniae,cefpodoxime,Resistant
975,Klebsiella pneumoniae strain BK-171,Klebsiella pneumoniae,imipenem,Susceptible
976,Klebsiella pneumoniae strain MRSN681054,Klebsiella pneumoniae,ampicillin,Resistant
977,Klebsiella pneumoniae strain MRSN581745,Klebsiella pneumoniae,ciprofloxacin,Susceptible
978,Pseudomonas aeruginosa strain UFMG-H9,Pseudomonas aeruginosa,levofloxacin,Susceptible
979,Shigella sonnei strain 167014,Shigella sonnei,ertapenem,Susceptible
980,Shigella sonnei strain 151037,Shigella sonnei,tetracycline,Resistant
981,Klebsiella pneumoniae strain MRSN25616,Klebsiella pneumoniae,ceftazidime,Susceptible
982,Klebsiella pneumoniae strain MRSN730567,Klebsiella pneumoniae,aztreonam,Susceptible
983,Staphylococcus aureus strain BP7,Staphylococcus aureus,erythromycin,Susceptible
984,Shigella sonnei strain 195821,Shigella sonnei,cefoxitin,Susceptible
985,Shigella sonnei strain 172465,Shigella sonnei,streptomycin,Resistant
986,Klebsiella pneumoniae strain 3125,Klebsiella pneumoniae,tobramycin,Susceptible
987,Klebsiella pneumoniae strain KZN_INI_KINF_102,Klebsiella pneumoniae,imipenem,Resistant
988,Klebsiella pneumoniae strain Q1460,Klebsiella pneumoniae,ertapenem,Susceptible
989,Shigella sonnei strain 171140,Shigella sonnei,cefoxitin,Resistant
990,Klebsiella pneumoniae strain MRSN572640,Klebsiella pneumoniae,cefepime,Susceptible
991,Shigella sonnei strain 151008,Shigella sonnei,streptomycin,Resistant
992,Klebsiella pneumoniae strain KZN_INI_KINF_91,Klebsiella pneumoniae,tobramycin,Resistant
993,Shigella sonnei strain 175550,Shigella sonnei,ampicillin,Resistant
994,Shigella sonnei strain 197084,Shigella sonnei,tobramycin,Susceptible
995,Staphylococcus aureus strain SP88d,Staphylococcus aureus,penicillin,Susceptible
996,Shigella sonnei strain 155588,Shigella sonnei,azithromycin,Susceptible
997,Klebsiella pneumoniae strain KZN_INI_KINF_60,Klebsiella pneumoniae,tobramycin,Susceptible
998,Staphylococcus aureus strain 21/11-F8H LC,Staphylococcus aureus,erythromycin,Susceptible
999,Pseudomonas aeruginosa strain ZYPA22 strain not collected,Pseudomonas aeruginosa,levofloxacin,Susceptible
1000,Klebsiella pneumoniae strain MRSN513382,Klebsiella pneumoniae,imipenem,Susceptible
1001,Shigella sonnei strain 182830,Shigella sonnei,temocillin,Susceptible
1002,Klebsiella pneumoniae strain MRSN25616,Klebsiella pneumoniae,tobramycin,Susceptible
1003,Shigella sonnei strain 195632,Shigella sonnei,gentamicin,Resistant
1004,Shigella sonnei strain 178860,Shigella sonnei,amikacin,Resistant
1005,Klebsiella pneumoniae strain MRSN511348,Klebsiella pneumoniae,meropenem,Resistant
1007,Klebsiella pneumoniae strain CVUAS 5452.2,Klebsiella pneumoniae,imipenem,Susceptible
1008,Streptococcus pneumoniae strain S329,Streptococcus pneumoniae,erythromycin,Resistant
1009,Klebsiella pneumoniae strain MRSN581745,Klebsiella pneumoniae,cefpodoxime,Resistant
1010,Shigella sonnei strain 155590,Shigella sonnei,ceftazidime,Susceptible
1011,Klebsiella pneumoniae strain KP-14-2-131,Klebsiella pneumoniae,cefoxitin,Susceptible
1012,Staphylococcus aureus strain 27191_155F222,Staphylococcus aureus,gentamicin,Susceptible
1013,Staphylococcus aureus strain 27/4-18 LC,Staphylococcus aureus,penicillin,Susceptible
1014,Klebsiella pneumoniae strain PN95,Klebsiella pneumoniae,trimethoprim/sulfamethoxazole,Susceptible
1015,Shigella sonnei strain 154832,Shigella sonnei,nalidixic acid,Susceptible
1016,Klebsiella pneumoniae strain MRSN511348,Klebsiella pneumoniae,imipenem,Resistant
1017,Klebsiella pneumoniae strain MRSN368320,Klebsiella pneumoniae,ertapenem,Resistant
1018,Klebsiella pneumoniae strain K6310,Klebsiella pneumoniae,tetracycline,Susceptible
1019,Shigella sonnei strain 166176,Shigella sonnei,temocillin,Susceptible
1020,Shigella sonnei strain 205583,Shigella sonnei,tobramycin,Resistant
1021,Klebsiella pneumoniae strain 3799,Klebsiella pneumoniae,gentamicin,Resistant
1022,Shigella sonnei strain 153152,Shigella sonnei,trimethoprim,Resistant
1023,Klebsiella pneumoniae strain P30-69,Klebsiella pneumoniae,gentamicin,Resistant
1024,Shigella sonnei strain 158948,Shigella sonnei,sulfonamides,Susceptible
1025,Klebsiella pneumoniae strain KZN_INI_KINF_91,Klebsiella pneumoniae,cefoxitin,Susceptible
1026,Klebsiella pneumoniae strain Y11,Klebsiella pneumoniae,meropenem,Susceptible
1027,Shigella sonnei strain 185433,Shigella sonnei,tetracycline,Resistant
1028,Klebsiella pneumoniae strain MRSN380979,Klebsiella pneumoniae,tobramycin,Susceptible
1029,Shigella sonnei strain 174676,Shigella sonnei,tetracycline,Resistant
1030,Shigella sonnei strain 189258,Shigella sonnei,sulfonamides,Susceptible
1031,Staphylococcus aureus strain 27207_175TM671,Staphylococcus aureus,erythromycin,Susceptible
1032,Staphylococcus aureus strain 27193_175F292,Staphylococcus aureus,erythromycin,Susceptible
1033,Klebsiella pneumoniae strain MRSN613682,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Resistant
1034,Shigella sonnei strain 149263,Shigella sonnei,sulfonamides,Resistant
1035,Klebsiella pneumoniae strain GDFK0139,Klebsiella pneumoniae,levofloxacin,Susceptible
1036,Klebsiella pneumoniae strain MRSN380979,Klebsiella pneumoniae,ceftazidime,Susceptible
1037,Klebsiella pneumoniae strain MRSN371351,Klebsiella pneumoniae,trimethoprim-sulfamethoxazole,Resistant
1038,Klebsiella pneumoniae strain 260,Klebsiella pneumoniae,imipenem,Susceptible
1039,Klebsiella pneumoniae strain 11-0910 strain not applicable,Klebsiella pneumoniae,tetracycline,Susceptible
1040,Shigella sonnei strain 161920,Shigella sonnei,chloramphenicol,Susceptible
1041,Klebsiella pneumoniae strain DSM 30104 strain RIT 418,Klebsiella pneumoniae,cefepime,Susceptible
1042,Shigella sonnei strain 185879,Shigella sonnei,temocillin,Resistant
1043,Klebsiella pneumoniae strain MRSN676980,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
1044,Klebsiella pneumoniae strain MRSN365679,Klebsiella pneumoniae,tobramycin,Susceptible
1045,Staphylococcus aureus strain 21/11-F5 LY,Staphylococcus aureus,gentamicin,Susceptible
1046,Staphylococcus aureus strain 27182_155F75,Staphylococcus aureus,penicillin,Susceptible
1047,Klebsiella pneumoniae strain CVUAS 10089.2,Klebsiella pneumoniae,piperacillin_tazobactam,Susceptible
1048,Shigella sonnei strain 164815,Shigella sonnei,ceftazidime,Resistant
1049,Staphylococcus aureus strain HL25274,Staphylococcus aureus,methicillin,Resistant
1050,Shigella sonnei strain 176416,Shigella sonnei,tobramycin,Susceptible
1051,Streptococcus pneumoniae strain PP1,Streptococcus pneumoniae,chloramphenicol,Susceptible
1052,Shigella sonnei strain 191890,Shigella sonnei,tetracycline,Resistant
1053,Staphylococcus aureus strain 71532_cf12,Staphylococcus aureus,penicillin,Susceptible
1054,Staphylococcus aureus strain 99634_25,Staphylococcus aureus,ciprofloxacin,Susceptible
1055,Shigella sonnei strain 207588,Shigella sonnei,temocillin,Resistant
1057,Staphylococcus aureus strain 27201_175F382,Staphylococcus aureus,clindamycin,Susceptible
1058,Klebsiella pneumoniae strain MRSN572640,Klebsiella pneumoniae,cefoxitin,Susceptible
1059,Klebsiella pneumoniae strain KZN_INI_KINF_85,Klebsiella pneumoniae,gentamicin,Susceptible
1060,Klebsiella pneumoniae strain KE3783,Klebsiella pneumoniae,tetracycline,Susceptible
1061,Shigella sonnei strain 174677,Shigella sonnei,tetracycline,Resistant
1062,Shigella sonnei strain 196418,Shigella sonnei,cefpirome,Susceptible
1063,Klebsiella pneumoniae strain MRSN513382,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
1064,Klebsiella pneumoniae strain PAC4_180130,Klebsiella pneumoniae,tetracycline,Susceptible
1065,Klebsiella pneumoniae strain EX412,Klebsiella pneumoniae,amikacin,Susceptible
1066,Streptococcus pneumoniae strain S684,Streptococcus pneumoniae,beta-lactam,Resistant
1067,Klebsiella pneumoniae strain Q1445,Klebsiella pneumoniae,meropenem,Susceptible
1068,Klebsiella pneumoniae strain MRSN28880,Klebsiella pneumoniae,cefoxitin,Susceptible
1069,Shigella sonnei strain 172320,Shigella sonnei,chloramphenicol,Susceptible
1070,Staphylococcus aureus strain SP88a,Staphylococcus aureus,penicillin,Susceptible
1071,Shigella sonnei strain 203677,Shigella sonnei,trimethoprim,Resistant
1073,Klebsiella pneumoniae strain KP18-8,Klebsiella pneumoniae,aztreonam,Susceptible
1075,Klebsiella pneumoniae strain MRSN15687,Klebsiella pneumoniae,imipenem,Susceptible
1076,Klebsiella pneumoniae strain MRSN5613,Klebsiella pneumoniae,ertapenem,Susceptible
1077,Staphylococcus aureus strain NCTC9613,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
1078,Shigella sonnei strain 19920319_1361378,Shigella sonnei,trimethoprim,Susceptible
1079,Klebsiella pneumoniae strain MRSN479404,Klebsiella pneumoniae,cefotetan,Resistant
1080,Shigella sonnei strain 183758,Shigella sonnei,streptomycin,Susceptible
1081,Shigella sonnei strain 163133,Shigella sonnei,trimethoprim,Resistant
1082,Klebsiella pneumoniae strain MRSN740795,Klebsiella pneumoniae,trimethoprim_sulfamethoxazole,Susceptible
1083,Shigella sonnei strain 182824,Shigella sonnei,sulfonamides,Resistant
1084,Staphylococcus aureus strain 62100_18_2,Staphylococcus aureus,erythromycin,Susceptible
1085,Klebsiella pneumoniae strain KP18-2079,Klebsiella pneumoniae,cefepime,Susceptible
1086,Staphylococcus aureus strain GHA/LAMRSA/2016/5,Staphylococcus aureus,gentamicin,Susceptible
1087,Shigella sonnei strain 158948,Shigella sonnei,trimethoprim,Resistant
1088,Staphylococcus aureus strain 27197_175F322,Staphylococcus aureus,trimethoprim/sulfamethoxazole,Susceptible
1089,Klebsiella pneumoniae strain MRSN401050,Klebsiella pneumoniae,nalidixic acid,Resistant
1090,Klebsiella pneumoniae strain MRSN669448,Klebsiella pneumoniae,ceftolozane-tazobactam,Resistant
1091,Streptococcus pneumoniae strain S849,Streptococcus pneumoniae,tetracycline,Susceptible
1092,Klebsiella pneumoniae strain MRSN761403,Klebsiella pneumoniae,ampicillin,Resistant
1093,Klebsiella pneumoniae strain MRSN16233,Klebsiella pneumoniae,cefotetan,Susceptible
1094,Shigella sonnei strain 183738,Shigella sonnei,chloramphenicol,Susceptible
1095,Shigella sonnei strain 167014,Shigella sonnei,chloramphenicol,Susceptible
1096,Klebsiella pneumoniae strain MRSN21352,Klebsiella pneumoniae,cefazolin,Resistant
1097,Staphylococcus aureus strain 99634_21,Staphylococcus aureus,penicillin,Resistant
1098,Klebsiella pneumoniae strain PN84,Klebsiella pneumoniae,cefoxitin,Susceptible
1099,Shigella sonnei strain 190808,Shigella sonnei,ampicillin,Resistant
1100,Staphylococcus aureus strain NCTC9612,Staphylococcus aureus,tetracycline,Susceptible
1101,Klebsiella pneumoniae strain MRSN742743,Klebsiella pneumoniae,imipenem,Susceptible
1102,Shigella sonnei strain 193330,Shigella sonnei,ceftazidime,Susceptible
1103,Klebsiella pneumoniae strain MRSN374613,Klebsiella pneumoniae,ciprofloxacin,Susceptible
1104,Klebsiella pneumoniae strain MRSN430405,Klebsiella pneumoniae,cefotetan,Resistant
1105,Shigella sonnei strain 193330,Shigella sonnei,ciprofloxacin,Susceptible
1106,Shigella sonnei strain 192859,Shigella sonnei,ceftazidime,Resistant
1107,Klebsiella pneumoniae strain 2564,Klebsiella pneumoniae,meropenem,Resistant
1108,Staphylococcus aureus strain 49760_43113,Staphylococcus aureus,gentamicin,Susceptible
1109,Shigella sonnei strain 168322,Shigella sonnei,ceftazidime,Susceptible
1110,Staphylococcus aureus strain SP88d,Staphylococcus aureus,trimethoprim_sulfamethoxazole,Susceptible
1111,Shigella sonnei strain 158945,Shigella sonnei,cefpirome,Resistant
1112,Klebsiella pneumoniae strain MRSN742743,Klebsiella pneumoniae,aztreonam,Susceptible
1113,Shigella sonnei strain 149265,Shigella sonnei,cefpirome,Susceptible
1114,Shigella sonnei strain 158948,Shigella sonnei,cefoxitin,Susceptible
1115,Klebsiella pneumoniae strain SAKP02,Klebsiella pneumoniae,cefepime,Susceptible
1116,Mycobacterium tuberculosis strain OMICS/BPL/0016/19/SP,Mycobacterium tuberculosis,ofloxacin,Susceptible
1117,Shigella sonnei strain 178859,Shigella sonnei,sulfonamides,Resistant
1118,Shigella sonnei strain 170443,Shigella sonnei,tobramycin,Resistant
1119,Shigella sonnei strain 176409,Shigella sonnei,gentamicin,Resistant
1120,Klebsiella pneumoniae strain MRSN669448,Klebsiella pneumoniae,cephalothin,Resistant
1122,Klebsiella pneumoniae strain MRSN546733,Klebsiella pneumoniae,cephalothin,Resistant
1124,Shigella sonnei strain 196418,Shigella sonnei,ampicillin,Susceptible
1125,Shigella sonnei strain 177418,Shigella sonnei,streptomycin,Resistant
1126,Shigella sonnei strain 153151,Shigella sonnei,ceftazidime,Susceptible
1127,Shigella sonnei strain 185433,Shigella sonnei,streptomycin,Resistant
1128,Klebsiella pneumoniae strain Q1444,Klebsiella pneumoniae,trimethoprim/sulfamethoxazole,Susceptible
1129,Shigella sonnei strain 176235,Shigella sonnei,ampicillin,Resistant
1130,Klebsiella pneumoniae strain MRSN699654,Klebsiella pneumoniae,meropenem,Susceptible
1131,Staphylococcus aureus strain 62100_31_2,Staphylococcus aureus,trimethoprim_sulfamethoxazole,Susceptible
1132,Shigella sonnei strain 185885,Shigella sonnei,temocillin,Susceptible
